Date,Daily ROR,Index Value
01/05/2017,0.2703%,741.58
01/04/2017,-0.059%,739.58
01/03/2017,-0.3493%,740.02
12/30/2016,0.0392%,742.61
12/29/2016,-0.2197%,742.32
12/28/2016,0.3163%,743.95
12/27/2016,-0.1299%,741.61
12/23/2016,0.1572%,742.57
12/22/2016,-0.0091%,741.41
12/21/2016,-0.0886%,741.48
12/20/2016,0.0048%,742.13
12/19/2016,-0.0291%,742.1
12/16/2016,0.2262%,742.31
12/15/2016,-0.3414%,740.64
12/14/2016,0.4963%,743.17
12/13/2016,-0.4222%,739.5
12/12/2016,0.4304%,742.64
12/09/2016,0.3494%,739.46
12/08/2016,-0.3295%,736.88
12/07/2016,0.3788%,739.32
12/06/2016,-0.0709%,736.53
12/05/2016,-0.0743%,737.05
12/02/2016,-0.357%,737.6
12/01/2016,0.4302%,740.24
11/30/2016,0.0899%,737.07
11/29/2016,-0.0332%,736.41
11/28/2016,-0.0795%,736.65
11/25/2016,0.2933%,737.24
11/23/2016,-0.4045%,735.08
11/22/2016,0.0743%,738.07
11/21/2016,-0.1052%,737.52
11/18/2016,0.2039%,738.3
11/17/2016,-0.1822%,736.79
11/16/2016,0.4076%,738.14
11/15/2016,-0.1515%,735.14
11/14/2016,0.0256%,736.26
11/11/2016,-0.1028%,736.07
11/10/2016,-0.043%,736.83
11/09/2016,-0.0969%,737.14
11/08/2016,0.1882%,737.86
11/07/2016,-0.2855%,736.47
11/04/2016,-0.1627%,738.58
11/03/2016,-0.2029%,739.79
11/02/2016,0.2226%,741.29
11/01/2016,-0.2699%,739.64
10/31/2016,0.0672%,741.64
10/28/2016,0.2202%,741.15
10/27/2016,-0.3609%,739.52
10/26/2016,0.157%,742.2
10/25/2016,0.0561%,741.03
10/24/2016,0.0915%,740.62
10/21/2016,0.2524%,739.94
10/20/2016,-0.0079%,738.08
10/19/2016,-0.1292%,738.14
10/18/2016,0.1408%,739.09
10/17/2016,0.2615%,738.05
10/14/2016,-0.3064%,736.13
10/13/2016,-0.1524%,738.39
10/12/2016,0.2017%,739.52
10/11/2016,-0.2788%,738.03
10/10/2016,-0.0142%,740.09
10/07/2016,0.3002%,740.2
10/06/2016,-0.1368%,737.98
10/05/2016,0.029%,738.99
10/04/2016,0.1423%,738.78
10/03/2016,-0.0947%,737.73
09/30/2016,-0.2308%,738.43
09/29/2016,0.3245%,740.14
09/28/2016,0.0126%,737.74
09/27/2016,-0.256%,737.65
09/26/2016,-0.2309%,739.54
09/23/2016,0.3857%,741.25
09/22/2016,0.7357%,738.41
09/21/2016,-0.1058%,733.01
09/20/2016,-0.1829%,733.79
09/19/2016,-0.0161%,735.13
09/16/2016,-0.009%,735.25
09/15/2016,-0.1844%,735.32
09/14/2016,0.1863%,736.68
09/13/2016,0.1335%,735.31
09/12/2016,-0.7713%,734.33
09/09/2016,0.5964%,740.03
09/08/2016,-0.0478%,735.65
09/07/2016,0.1689%,736
09/06/2016,-0.0829%,734.76
09/02/2016,0.0526%,735.37
09/01/2016,-0.1658%,734.98
08/31/2016,0.0019%,736.2
08/30/2016,0.1087%,736.19
08/29/2016,-0.1088%,735.39
08/26/2016,0.0424%,736.19
08/25/2016,-0.2538%,735.88
08/24/2016,0.3331%,737.75
08/23/2016,0.0413%,735.3
08/22/2016,-0.2141%,735
08/19/2016,0.1702%,736.57
08/18/2016,0.3617%,735.32
08/17/2016,-0.3144%,732.67
08/16/2016,0.2295%,734.98
08/15/2016,0.119%,733.3
08/12/2016,0.0076%,732.43
08/11/2016,-0.0605%,732.37
08/10/2016,0.1909%,732.82
08/09/2016,0.1637%,731.42
08/08/2016,0.1046%,730.22
08/05/2016,-0.1622%,729.46
08/04/2016,0.2569%,730.65
08/03/2016,-0.1503%,728.77
08/02/2016,-0.1356%,729.87
08/01/2016,0.3115%,730.86
07/29/2016,-0.147%,728.59
07/28/2016,0.0158%,729.66
07/27/2016,0.5984%,729.55
07/26/2016,-0.1789%,725.21
07/25/2016,0.3735%,726.51
07/22/2016,-0.1368%,723.81
07/21/2016,0.199%,724.8
07/20/2016,0.2265%,723.36
07/19/2016,0.1021%,721.72
07/18/2016,-0.1363%,720.99
07/15/2016,0.2549%,721.97
07/14/2016,-0.2211%,720.14
07/13/2016,0.0922%,721.73
07/12/2016,0.4834%,721.07
07/11/2016,0.1016%,717.6
07/08/2016,0.1794%,716.87
07/07/2016,0.2907%,715.59
07/06/2016,-0.1858%,713.51
07/05/2016,0.0851%,714.84
07/01/2016,0.2428%,714.23
06/30/2016,0.3605%,712.5
06/29/2016,0.1766%,709.94
06/28/2016,-0.6839%,708.69
06/27/2016,-0.0322%,713.57
06/24/2016,-0.0733%,713.8
06/23/2016,-0.2947%,714.32
06/22/2016,0.3061%,716.44
06/21/2016,-0.0629%,714.25
06/20/2016,-0.2016%,714.7
06/17/2016,0.2405%,716.14
06/16/2016,-0.2161%,714.43
06/15/2016,0.3724%,715.97
06/14/2016,-0.2008%,713.32
06/13/2016,-0.1481%,714.75
06/10/2016,0.3729%,715.81
